2026-07-28 11:27:07,781 INFO    MainThread:3477259 [wandb_setup.py:_flush():81] Current SDK version is 0.28.1
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_setup.py:_flush():81] Configure stats pid to 3477259
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_init.py:setup_run_log_directory():729] Logging user logs to /projects/m000255/mbenyas/OmniLearned/wandb/run-20260728_112707-w1f73fsa/logs/debug.log
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_init.py:setup_run_log_directory():730] Logging internal logs to /projects/m000255/mbenyas/OmniLearned/wandb/run-20260728_112707-w1f73fsa/logs/debug-internal.log
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_init.py:init():772] calling init triggers
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_init.py:init():777] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-06, 'epochs': 15, 'batch size': 32, 'mode': 'classifier', 'size': 'large', 'fine_tune': True, 'distill': False, 'distill_alpha': 0.5, 'distill_beta': 0.5, 'distill_T': 4.0, '_wandb': {}}
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_init.py:init():820] starting backend
2026-07-28 11:27:07,782 INFO    MainThread:3477259 [wandb_init.py:init():835] sending inform_init request
2026-07-28 11:27:07,920 INFO    MainThread:3477259 [wandb_init.py:init():840] backend started and connected
2026-07-28 11:27:07,921 INFO    MainThread:3477259 [wandb_init.py:init():910] updated telemetry
2026-07-28 11:27:07,935 INFO    MainThread:3477259 [wandb_init.py:init():933] communicating run to backend with 90.0 second timeout
2026-07-28 11:27:08,679 INFO    MainThread:3477259 [wandb_init.py:init():978] starting run threads in backend
2026-07-28 11:27:08,791 INFO    MainThread:3477259 [wandb_run.py:_console_start():2621] atexit reg
2026-07-28 11:27:08,791 INFO    MainThread:3477259 [wandb_run.py:_redirect():2471] redirect: wrap_raw
2026-07-28 11:27:08,791 INFO    MainThread:3477259 [wandb_run.py:_redirect():2540] Wrapping output streams.
2026-07-28 11:27:08,791 INFO    MainThread:3477259 [wandb_run.py:_redirect():2563] Redirects installed.
2026-07-28 11:27:08,798 INFO    MainThread:3477259 [wandb_init.py:init():1016] run started, returning control to user process
